,Task,Core,Start,End,Rank
0,1,0,0.0,2843.6552354,18045.347102900003
1,2,0,2843.6552354,6499.7264863,15201.691867500002
2,5,0,6499.7264863,11565.5175099,11545.620616600001
3,8,0,11565.5175099,15161.7077458,6479.829593
4,6,0,15161.7077458,20277.7155627,5116.0078169
5,4,1,2843.6552354,7009.8795684,9282.232149899999
6,7,1,7009.8795684,10888.5826796,9131.2826452
7,9,1,10888.5826796,16141.1622136,5252.579534
8,10,1,16141.1622136,19024.8015707,2883.6393571
9,3,1,19024.8015707,21766.783808300002,2741.9822376
